Query,SV,EmbeddingsSVRank,BelowThresholdSVRank,Exception,EmptyResult,DemoteSV,BelowThresholdDemoteSV,FineTuningPairs
the risk of cancer from air pollutants,AirPollutant_Cancer_Risk,0,-1,,,,,
the danger of air pollutants to your health,AirPollutant_Cancer_Risk,2,-1,,,,dc/topic/AmbientAirPollution,"# dc/topic/AmbientAirPollution -> AirPollutant_Cancer_Risk
the danger of air pollutants to your health,1 Air pollution can cause cancer,0.8563
the danger of air pollutants to your health,Air pollution can increase your risk of cancer,0.8563
the danger of air pollutants to your health,Cancer Risk From Air Pollutants,0.8563
the danger of air pollutants to your health,Cancer risk from air pollutants,0.8563
the danger of air pollutants to your health,The risk of cancer from air pollutants,0.8563
the danger of air pollutants to your health,The risk of cancer from air pollution,0.8563
the danger of air pollutants to your health,The risk of developing cancer from exposure to air pollutants,0.8563
the danger of air pollutants to your health,air pollutants can cause cancer,0.8563
the danger of air pollutants to your health,air pollution can increase your risk of cancer,0.8563
the danger of air pollutants to your health,air pollution is a risk factor for cancer,0.8563
the danger of air pollutants to your health,exposure to air pollutants can increase your risk of developing cancer,0.8563"
the possibility of getting cancer from air pollutants,AirPollutant_Cancer_Risk,0,-1,,,,,
air quality index,AirQualityIndex_AirPollutant,0,-1,,,,,
air quality rating,AirQualityIndex_AirPollutant,0,-1,,,,,
air quality measure,AirQualityIndex_AirPollutant,0,-1,,,,,
winter wheat grown for grain,AmountFarmInventory_WinterWheatForGrain,0,-1,,,,,
grain grown from winter wheat,AmountFarmInventory_WinterWheatForGrain,0,-1,,,,,
wheat grown for grain in the winter,AmountFarmInventory_WinterWheatForGrain,0,-1,,,,,
what percentage of people aged 15 years or older in the united states consume alcohol?,Amount_Consumption_Alcohol_15OrMoreYears_AsFractionOf_Count_Person_15OrMoreYears,0,-1,,,,,
what is the percentage of people aged 15 years or older in the united states who consume alcohol?,Amount_Consumption_Alcohol_15OrMoreYears_AsFractionOf_Count_Person_15OrMoreYears,0,-1,,,,,
what proportion of people aged 15 years or older in the united states consume alcohol?,Amount_Consumption_Alcohol_15OrMoreYears_AsFractionOf_Count_Person_15OrMoreYears,0,-1,,,,,
how much electricity does the average person use in the united states?,Amount_Consumption_Electricity_PerCapita,0,-1,,,,,
what is the average electricity consumption per person in the united states?,Amount_Consumption_Electricity_PerCapita,0,-1,,,,,
what is the per capita electricity consumption in the united states?,Amount_Consumption_Electricity_PerCapita,0,-1,,,,,
per capita energy use,Amount_Consumption_Energy_PerCapita,0,-1,,,,,
energy use per person,Amount_Consumption_Energy_PerCapita,,,*,,,,[]
energy consumption per capita,Amount_Consumption_Energy_PerCapita,0,-1,,,,,
